304	10069	ma?
305	10069	koofi
306	10069	-ad
307	10069	baa
308	10070	dab
309	10070	+
310	10070	joog-
311	10071	neef 1
312	10072	kala
313	10073	neef 1
314	10073	-Ø´
315	10075	neef 1
316	10075	-ka
317	10076	neef 2
318	10077	waa
319	10077	neef 1
320	10078	ma?
321	10078	neef 1
322	10078	baa
323	10079	waa
324	10079	neef 2
325	10080	ma?
326	10080	neef 2
327	10080	baa
328	10081	waa
329	10081	beer 1
330	10082	ma?
331	10082	beer 1
332	10082	baa
333	10083	waa
334	10083	beer 2
335	10084	ma?
336	10084	beer 2
337	10084	baa
338	10085	waxaa
339	10085	uu
340	10085	beer 3
341	10085	-ay 1
342	6975	naag
343	6138	naag
344	6138	-o 2
345	6138	-ka
346	6137	naag
347	6137	-o 2
348	6140	naag
349	6140	-ta
350	8227	naag
351	8227	-ta
352	8227	yar
353	5761	naag
354	5761	-tan
355	8226	naag
356	8226	-tii
357	8228	naag
358	8228	-tii
359	8228	yar
360	8228	-ayd
361	10307	naawil-
362	10307	-id
363	10308	nabar
364	10309	nad-
365	10309	-o
366	10311	najaas-
367	10311	-o
368	10265	nal
369	8466	na
370	8466	la 2
371	8466	hadl-
372	8510	na
373	8510	la 2
374	8510	soo
375	8510	xiriir
376	8510	-Ø 3
377	8466	-Ø 3
378	10306	naxdin
379	5751	nim-
380	5736	nirg-
381	5738	nirg-
382	6234	nooc
383	6234	-kee
384	6234	albaab
385	6234	-ka
386	10298	Nuur
387	9459	oday
388	9459	-kii
389	8937	olol
390	9971	oof
391	9971	+
392	10285	oofi
393	10285	-n
394	10141	ord-
395	10141	-a
396	9571	ord-
397	9571	-i 2
398	9571	ma
399	9571	-ay 1
400	9571	-aa 4
401	9571	-n 2
402	10172	ord-
403	10172	-id
404	8938	orgi
405	10171	orod
406	10142	ord-
407	10142	-Ø 3
408	8201	qaab
409	8198	qaab
410	8198	+
411	8198	darr-
412	9967	qaad- 1
413	9967	-Ø 3
414	10228	qaad- 2
415	10228	-t- 1
416	9973	qaax-
417	9973	-o
418	10268	qalab
419	8126	qalim-
420	8126	-aan
421	8130	qalim-
422	8130	-aan
423	8130	-ta
424	8134	qalim-
425	8134	-aan
426	8134	-taa
427	8134	-ta
428	8136	qalim-
429	8136	-aan
430	8136	-taa
431	8136	-taas
432	8138	qalim-
433	8138	-aan
434	8138	-taa
435	8138	-taas
436	8138	cusb-
437	8129	qalim-
438	8129	-o 2
439	8129	-ka
440	8128	qalim-
441	8128	-o 2
442	8128	-ta
443	8133	qalim-
444	8133	-o 2
445	8133	-taa
446	8133	-ta
447	8135	qalim-
448	8135	-o 2
449	8135	-taa
450	8135	-taas
451	9681	qayb
452	9982	qayb
453	9982	libaax
454	9682	qayb
455	9682	-ta
456	9994	qod-
457	9994	-Ø 3
458	9730	qod-
459	9730	-aa 2
460	9993	qod-
461	9993	-id
462	8155	qof
463	9048	qof
464	9048	dumar
465	9048	ah
466	7059	qof
467	7059	marti
468	7059	ah
469	9258	qof
470	9258	-kaas
471	9258	-i
472	9258	waa
473	9258	kuma
474	9935	qorrax
475	9936	qorrax
476	9936	-o 2
477	6731	qoys
478	8011	qoys
479	8011	-ka
480	8011	Cumar
481	9921	raad
482	9922	raad
483	9922	-aC
484	9923	raad
485	9923	-aC
486	9923	-ka
487	9941	raad
488	9941	-aC
489	9941	-kaa
490	9941	-ka
491	9944	raad
492	9944	-aC
493	9944	-kaa
494	9944	-kaas
495	9946	raad
496	9946	-aC
497	9946	-kaa
498	9946	-kaas
499	9946	baa
500	9946	CV(C)-
501	9946	weyn
502	9945	raad
503	9945	-aC
504	9945	-kaa
505	9945	-kaas
506	9945	baa
507	9945	weyn
509	9948	raad
510	9948	-aC
511	9948	-kaa
512	9948	-kaas
513	9948	-aa 5
514	9948	CV(C)-
515	9948	weyn
516	9940	raad
517	9940	-aC
518	9940	-kan
519	9904	raad
520	9904	-ka
521	9905	raad
522	9905	-kaa
523	9905	-ka
524	9950	raad
525	9950	-ka
526	9950	-aa 5
527	9950	-na
528	9950	weyn
529	9903	raad
530	9903	-kan
531	9907	raad
532	9907	-kay
533	9907	-ka
534	5788	raashin
535	6547	rag
536	6547	Soomaali
537	6547	-eed
538	9926	rag
539	9926	-ka
540	5580	rati
541	6828	rati
542	6828	ayaa
543	6828	aan 1
544	6828	ani-
545	6828	-ka
546	6828	-u
547	6828	ark-
548	6828	-ay 2
549	6824	rati
550	6824	ayaa
551	6824	aan 1
552	6824	ark-
553	6824	-ay 2
554	6825	rati
555	6825	baa
556	6825	aan 1
557	6825	ark-
558	6825	-ay 2
559	5581	rati
560	5581	weyn
561	8012	reer
562	9956	reer
563	9956	+
564	10236	ri'
565	9726	rid-
566	9726	-aa 2
567	9859	rid-
568	9859	-ay 2
569	7583	roob
570	7585	roob
571	7585	-aC
572	7586	roob
573	7586	-aC
574	7586	-ka
575	7584	roob
576	7584	-ka
577	7343	rooti
578	6383	rooti
579	6383	-ta
580	7793	rooti
581	7793	-tan
582	6382	rooti
583	6382	-ka
584	7801	rooti
585	7801	-kaa
586	7801	-ka
587	7806	rooti
588	7806	-kaa
589	7806	-kan
590	7348	rooti
591	7348	-kaas
